номер сеанса;Название организации;Объект испытаний 1;Объект испытаний 2;Объект испытаний 3;Объект испытаний 4;Код среды (Ион);Среднее по трековым детекторам;ТД1;ТД2;ТД3;ТД4;ТД5;ТД6;ТД7;ТД8;ТД9;Среднее по on-line детекторам;ОД1;ОД2;ОД3;ОД4;Интенсивность потока в сеансе;Номер протокола допуска;Угол облучения;Давление на испытательном комплексе;Влажность на испытательном комплексе, %;Температура на испытательном комплексе;Температура в сеансе;неоднородность, %;К;±;Неоднородность по левой стороне;Неоднородность по правой стороне
87;СПЭЛС;21097010001;22010010001;;;АрВак--;1,08E+08;1,10E+08;1,10E+08;1,00E+08;1,10E+08;;;;;;1,23E+08;1,23E+08;1,29E+08;1,13E+08;1,27E+08;9,40E+04;02.03.2002;0;741;51;25;25;9,09;0,87;0,26;0;9,09
88;СПЭЛС;21096010001;21096010002;;;АрВак--;1,33E+08;1,40E+08;1,30E+08;1,30E+08;1,30E+08;;;;;;1,38E+08;1,38E+08;1,47E+08;1,26E+08;1,42E+08;9,40E+04;02.03.2002;0;741;51;25;25;7,14;0,96;0,28;7,14;0
89;СПЭЛС;21096010001;21096010002;;;АрВак--;1,33E+08;1,40E+08;1,30E+08;1,30E+08;1,30E+08;;;;;;1,35E+08;1,33E+08;1,35E+08;1,25E+08;1,48E+08;9,40E+04;02.03.2002;0;741;51;25;25;7,14;0,98;0,29;7,14;0
90;СПЭЛС;20125010002;;;;АрВак--;3,25E+06;3,40E+06;3,10E+06;;;;;;;;3,11E+06;3,09E+06;3,07E+06;2,89E+06;3,38E+06;3,00E+04;02.03.2002;0;741;51;25;40;8,82;1,05;0,36;;
91;СПЭЛС;20125010002;20125010002;;;АрВак--;3,00E+06;3,00E+06;3,00E+06;;;;;;;;3,02E+06;3,01E+06;2,98E+06;2,82E+06;3,28E+06;2,00E+04;02.03.2002;0;741;51;25;40;0;0,99;0,28;;
92;СПЭЛС;20125010007;;;;АрВак--;3,05E+06;3,00E+06;3,10E+06;;;;;;;;3,02E+06;3,02E+06;2,97E+06;2,83E+06;3,28E+06;2,00E+04;02.03.2002;0;741;51;25;40;3,23;1,01;0,29;;
93;СПЭЛС;20125010007;20125010007;;;АрВак--;3,05E+06;2,90E+06;3,20E+06;;;;;;;;3,01E+06;3,00E+06;2,97E+06;2,82E+06;3,27E+06;2,00E+04;02.03.2002;0;741;51;25;40;9,38;1,01;0,36;;
94;СПЭЛС;20125010009;;;;АрВак--;3,10E+06;3,20E+06;3,00E+06;;;;;;;;3,05E+06;3,03E+06;3,00E+06;2,84E+06;3,31E+06;2,00E+04;02.03.2002;0;741;51;25;40;6,25;1,02;0,32;;
95;СПЭЛС;20125010009;20125010009;;;АрВак--;3,05E+06;2,80E+06;3,30E+06;;;;;;;;3,11E+06;3,10E+06;3,06E+06;2,90E+06;3,37E+06;2,00E+04;02.03.2002;0;741;51;25;40;15,15;0,98;0,44;;
96;СПЭЛС;20125010004;20125010004;;;АрВак--;3,00E+06;2,90E+06;3,10E+06;;;;;;;;3,02E+06;3,01E+06;2,98E+06;2,82E+06;3,28E+06;2,00E+04;02.03.2002;0;741;51;25;40;6,45;0,99;0,31;;
97;СПЭЛС;20125010004;20125010004;;;АрВак--;2,90E+06;2,80E+06;3,00E+06;;;;;;;;3,02E+06;3,00E+06;2,98E+06;2,81E+06;3,27E+06;2,00E+04;02.03.2002;0;741;51;25;40;6,67;0,96;0,3;;
98;СПЭЛС;20125010005;20125010005;;;АрВак--;2,90E+06;2,90E+06;2,90E+06;;;;;;;;3,02E+06;3,01E+06;2,98E+06;2,82E+06;3,28E+06;2,00E+04;02.03.2002;0;741;51;25;40;0;0,96;0,27;;
99;СПЭЛС;20125010005;20125010005;;;АрВак--;2,85E+06;2,90E+06;2,80E+06;;;;;;;;3,02E+06;3,00E+06;2,98E+06;2,81E+06;3,27E+06;2,00E+04;02.03.2002;0;741;51;25;40;3,45;0,94;0,27;;
100;СПЭЛС;20125010006;;;;АрВак--;3,10E+06;3,00E+06;3,20E+06;;;;;;;;3,04E+06;3,03E+06;3,00E+06;2,84E+06;3,30E+06;1,00E+02;02.03.2002;0;741;51;25;40;6,25;1,02;0,32;;
